
Gurobi 11.0.3 (linux64, Java) logging started sáb 30 nov 2024 21:57:56 -03

Set parameter Username
Academic license - for non-commercial use only - expires 2025-10-10
Set parameter NonConvex to value 2
Set parameter TimeLimit to value 3600
Set parameter LogToConsole to value 0
Set parameter MIPGap to value 2.5029985070196468e-07
Set parameter Threads to value 2
Set parameter NodefileDir to value "/home/ps12398/experiment_epec/goalProgrammingMarcos/"
Set parameter NodefileStart to value 1
Gurobi Optimizer version 11.0.3 build v11.0.3rc0 (linux64)

CPU model: Intel(R) Xeon(R) CPU           X5650  @ 2.67GHz, instruction set [SSE2]
Thread count: 12 physical cores, 24 logical processors, using up to 2 threads

Optimize a model with 58003 rows, 39068 columns and 204825 nonzeros
Model fingerprint: 0xa44caea7
Model has 144 quadratic constraints
Variable types: 19466 continuous, 19602 integer (139 binary)
Coefficient statistics:
  Matrix range     [7e-03, 6e+05]
  QMatrix range    [7e-03, 2e+04]
  QLMatrix range   [1e+00, 2e+04]
  Objective range  [2e+00, 8e+06]
  Bounds range     [1e+00, 1e+08]
  RHS range        [1e+00, 9e+05]
  QRHS range       [5e-02, 5e-02]
Presolve removed 57813 rows and 38465 columns
Presolve time: 0.12s
Presolved: 637 rows, 749 columns, 6578 nonzeros
Presolved model has 2 SOS constraint(s)
Presolved model has 139 bilinear constraint(s)

Solving non-convex MIQCP

Variable types: 427 continuous, 322 integer (141 binary)
Found heuristic solution: objective 180950.82739

Root relaxation: objective 0.000000e+00, 77 iterations, 0.00 seconds (0.00 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

H1138351 897502                    58469.216254 21430.0243  63.3%   2.9  423s
H1138473 897594                    58469.064424 21430.0457  63.3%   2.9  423s
H1138591 897726                    58468.989330 21430.3849  63.3%   2.9  423s
H1139005 898073                    58468.985247 21431.0411  63.3%   2.9  423s
 1142841 900897 33954.9088  117   59 58468.9852 21436.5042  63.3%   2.9  425s
 1157751 912514 55328.4935  136   54 58468.9852 21457.8213  63.3%   2.9  430s
 1171415 923106 37455.3394   80   58 58468.9852 21478.5265  63.3%   2.9  435s
 1183789 933058 40810.3537  100   62 58468.9852 21493.0652  63.2%   2.9  440s
 1196752 943297 57493.4754  144   46 58468.9852 21507.7194  63.2%   2.9  445s
 1209237 953085 34255.8579   67   63 58468.9852 21520.3007  63.2%   2.9  450s
 1221391 962788 56896.6648  161   45 58468.9852 21532.3072  63.2%   2.9  455s
 1234116 972794 44119.5998   91   57 58468.9852 21549.5142  63.1%   2.9  460s
 1246486 982391 38054.8621   77   59 58468.9852 21565.9876  63.1%   2.9  465s
 1259930 992707 33819.0090   67   61 58468.9852 21583.7552  63.1%   2.9  470s
 1274931 1004248 39795.9169  102   52 58468.9852 21600.8266  63.1%   2.9  475s
 1288169 1014847 32185.2743   65   60 58468.9852 21614.2534  63.0%   2.9  480s
 1301045 1024765     cutoff  123      58468.9852 21629.7613  63.0%   2.9  485s
 1315722 1036040     cutoff  128      58468.9852 21648.2163  63.0%   2.9  490s
 1328745 1046070 37377.8106   73   62 58468.9852 21662.1255  63.0%   2.9  495s
 1340541 1055572 22500.8774   56   62 58468.9852 21675.2037  62.9%   2.9  500s
 1352970 1065170 47984.9391  119   57 58468.9852 21687.8418  62.9%   2.9  505s
 1365941 1075483 36969.5689  114   59 58468.9852 21699.4710  62.9%   2.9  510s
 1377685 1084550     cutoff  134      58468.9852 21712.0875  62.9%   2.9  515s
 1390606 1095194     cutoff  143      58468.9852 21725.7830  62.8%   2.9  520s
 1403242 1105040 56596.0311  124   54 58468.9852 21739.3560  62.8%   2.9  525s
 1416411 1115462     cutoff  143      58468.9852 21754.4862  62.8%   2.9  530s
 1428561 1124976     cutoff  123      58468.9852 21765.6106  62.8%   2.9  535s
 1441706 1135536 46943.4389   85   53 58468.9852 21777.5042  62.8%   2.9  540s
 1453484 1144834     cutoff  140      58468.9852 21788.9363  62.7%   2.9  545s
H1454751 1145691                    58468.985241 21789.7766  62.7%   2.9  545s
 1464754 1153642 24284.2955   57   66 58468.9852 21797.6452  62.7%   2.9  550s
 1477482 1163777 39627.5576   80   60 58468.9852 21808.2375  62.7%   2.9  555s
 1490015 1173791 35302.2149   72   65 58468.9852 21820.3792  62.7%   2.9  560s
 1501818 1182996 50818.5290  131   52 58468.9852 21832.9524  62.7%   2.9  565s
 1515682 1193916 38636.7464   85   58 58468.9852 21843.9291  62.6%   2.9  570s
 1528121 1203803 26032.7438   64   67 58468.9852 21855.2047  62.6%   2.9  575s
 1541186 1214071 35237.0318   77   64 58468.9852 21865.9845  62.6%   2.9  580s
 1553787 1224037 57841.4121  113   47 58468.9852 21877.9308  62.6%   2.9  585s
 1571273 1237562 31996.8040   76   63 58468.9852 21896.8047  62.5%   2.9  590s
 1587858 1250873 41484.5444   95   55 58468.9852 21910.3570  62.5%   2.9  595s
 1600170 1260191     cutoff  129      58468.9852 21919.2646  62.5%   2.9  600s
 1611528 1268881 27494.0403   68   68 58468.9852 21930.1844  62.5%   2.9  605s
 1624292 1279030 27419.5489  121   58 58468.9852 21942.8483  62.5%   2.9  610s
 1636009 1288295 48623.5389  110   55 58468.9852 21952.9291  62.5%   2.9  615s
 1649032 1298492 40563.7465  102   59 58468.9852 21966.2941  62.4%   2.9  620s
 1661603 1308253     cutoff  114      58468.9852 21977.5185  62.4%   2.9  625s
 1673405 1317593 36244.3055   72   63 58468.9852 21987.2679  62.4%   2.9  630s
*1679174 1321726             206    58414.314225 21992.0080  62.4%   2.9  633s
 1684316 1325855 46272.0134  105   52 58414.3142 21997.3563  62.3%   2.9  635s
 1696823 1335794     cutoff  118      58414.3142 22008.7238  62.3%   2.9  640s
 1709742 1345448 22355.9650   62   67 58414.3142 22021.1103  62.3%   2.9  645s
 1721623 1354867 47665.5494  111   59 58414.3142 22031.6939  62.3%   2.9  650s
 1734098 1364530 46102.4310  118   57 58414.3142 22042.0374  62.3%   2.9  655s
Created node file directory '/home/ps12398/experiment_epec/goalProgrammingMarcos//grbnodes6'
 1742300 1371194 43347.6497   94   55 58414.3142 22047.7079  62.3%   2.9  660s
 1750576 1375588     cutoff  155      58414.3142 22048.5656  62.3%   2.9  665s
 1761335 1381239 36683.8809   82   59 58414.3142 22051.0686  62.3%   2.9  670s
 1772897 1388063 39375.6227   75   60 58414.3142 22052.6856  62.2%   2.9  675s
 1779886 1393133 43987.4231  123   52 58414.3142 22053.9986  62.2%   2.9  680s
 1790313 1398956 56871.2118  155   37 58414.3142 22054.7909  62.2%   3.0  685s
 1800753 1405166 31688.4764   65   64 58414.3142 22057.1891  62.2%   3.0  690s
